Person,Wikipage,Preprocessed Wikipage,Description,Preprocessed Description
Airports,"**Al Taqaddum Airbase** (Arabic: قاعدة التقدم الجوية), or **Al Taqaddum AB**
(IATA: **TQD** , ICAO: **ORAT** ), (Called **TQ** in military shorthand
slang), is an air base that is located in central Iraq, approximately 74
kilometers (46 miles) west of Baghdad, at Habbaniyah. The airfield is served
by two runways 13,000 and 12,000 feet (3,700 m) long. Since 2004, it has been
known as **Camp Taqaddum**.",al taqaddum airbase arabic قاعدة التقدم الجوية al taqaddum ab iata tqd icao orat called tq military shorthand slang air base located central iraq approximately kilometers miles west baghdad habbaniyah airfield served two runways feet long since known camp taqaddum,airbase that is located in central Iraq,airbase located central iraq
Airports,"**Orote Field** is a former air base in the United States territory of Guam
built by the Empire of Japan with Chamorro forced labor during the Japanese
occupation of Guam (1941-1944). It is separate from the Marine Corps
amphibious airplane base at located at Sumay village that was operational from
1921 to 1931. Following the liberation of Guam in 1944, the U.S. military
repaired the field for further use in the Pacific War.",orote field former air base united states territory guam built empire japan chamorro forced labor japanese occupation guam separate marine corps amphibious airplane base located sumay village operational following liberation guam us military repaired field use pacific war,former air base in the United States territory of Guam,former air base united states territory guam
Airports,"**Ayn al Asad** (IATA: **IQA** , ICAO: **ORAA** ) is an Iraqi Armed Forces and
United States Armed Forces base located in Al Anbar Governorate (also called
Anbar province) of western Iraq. The base is also used by British Armed Forces
in Iraq. It was originally known as **Qadisiyah Airbase**.",ayn al asad iata iqa icao oraa iraqi armed forces united states armed forces base located al anbar governorate also called anbar province western iraq base also used british armed forces iraq originally known qadisiyah airbase,"airbase located in Al Anbar Governorate, Iraq",airbase located al anbar governorate iraq
Airports,"**Henderson Field** is a former military airfield on Guadalcanal, Solomon
Islands during World War II. Originally built by the Japanese Empire, the
conflict over its possession was one of the great battles of the Pacific War. Today it is Honiara International Airport.",henderson field former military airfield guadalcanal solomon islands world war ii originally built japanese empire conflict possession one great battles pacific war today honiara international airport,"airbase located in Al Anbar Governorate, Iraq",airbase located al anbar governorate iraq
Airports,"**Ie Shima Auxiliary Airfield** (伊江島補助飛行場, _Iejima Hojo Hikōjō_ ) is a
training facility, managed by the United States Marine Corps and a former
World War II airfield complex on Ie Shima, an island located off the northwest
coast of Okinawa Island in the East China Sea. The airfield as such was
inactivated after 1946 but part of the former airfield is still used as a
training facility for parachute drops and vertical take off and landing
aircraft such as the F-35. The facility is referenced as FAC6005 by Okinawa
Prefecture.",ie shima auxiliary airfield 伊江島補助飛行場 iejima hojo hikōjō training facility managed united states marine corps former world war ii airfield complex ie shima island located northwest coast okinawa island east china sea airfield inactivated part former airfield still used training facility parachute drops vertical take landing aircraft f facility referenced fac okinawa prefecture,U.S. Marine Corps facility in Japan,us marine corps facility japan
Airports,"**Marine Corps Outlying Field (MCOLF) Camp Davis** (FAA LID: **14NC** ) is a
military use airport northeast of the central business district of Holly
Ridge, in Onslow County, North Carolina, United States. It is used as a
training facility by the United States Marines of Camp Lejeune and Marine
Corps Air Station New River.",marine corps outlying field mcolf camp davis faa lid nc military use airport northeast central business district holly ridge onslow county north carolina united states used training facility united states marines camp lejeune marine corps air station new river,"US Marine Corps installation near Holly Ridge, North Carolina, United States",us marine corps installation near holly ridge north carolina united states
Airports,"**Trona Airport** (IATA: **TRH** , FAA LID: **L72** ) is a public airport five
miles north of Trona, in Inyo County, California. It is owned by the United
States Department of the Interior, Bureau of Land Management. The National
Plan of Integrated Airport Systems for 2011–2015 categorized it as a _general
aviation_ facility.",trona airport iata trh faa lid l public airport five miles north trona inyo county california owned united states department interior bureau land management national plan integrated airport systems – categorized general aviation facility,"airport in California, United States of America",airport california united states america
Airports,"**Stallings Air Base** was a United States Air Force base operational from
1944 to 1957. It later reopened as Kinston Airport and is now known as Kinston
Regional Jetport.",stallings air base united states air force base operational later reopened kinston airport known kinston regional jetport,"airport in California, United States of America",airport california united states america
Airports,"The **Mojave Air and Space Port** (IATA: **MHV** , ICAO: **KMHV** ), also
known as the **Civilian Aerospace Test Center** , is in Mojave, California,
United States, at an elevation of 2,801 feet (854 m). It is the first facility
to be licensed in the United States for horizontal launches of reusable
spacecraft, being certified as a spaceport by the Federal Aviation
Administration on June 17, 2004. The facility covers 2,998 acres (1,213 ha)
and has three runways.",mojave air space port iata mhv icao kmhv also known civilian aerospace test center mojave california united states elevation feet first facility licensed united states horizontal launches reusable spacecraft certified spaceport federal aviation administration june facility covers acres ha three runways,"airport in California, United States of America",airport california united states america
Airports,"**McEntire Joint National Guard Base** or **McEntire JNGB** (IATA: **MMT** ,
ICAO: **KMMT** , FAA LID: **MMT** ) is a military airport located in Richland
County, South Carolina, United States, 10 miles (16 km) west of the town of
Eastover and approximately 15 miles southeast of the city of Columbia. It is
owned by the U.S. Air Force affiliated with the South Carolina Air National
Guard (SCANG). The base is named for the late Brigadier General Barnie B. McEntire, Jr., the
first commander of the SCANG and its first general officer.",mcentire joint national guard base mcentire jngb iata mmt icao kmmt faa lid mmt military airport located richland county south carolina united states miles km west town eastover approximately miles southeast city columbia owned us air force affiliated south carolina air national guard scang base named late brigadier general barnie b mcentire jr first commander scang first general officer,"airport in California, United States of America",airport california united states america
Airports,"**Gillespie Field** (IATA: **SEE** , ICAO: **KSEE** , FAA LID: **SEE** ) is a
county-owned public towered airport 11.5 miles (10.0 nmi; 18.5 km) northeast
of downtown San Diego, in El Cajon, San Diego County, California, United
States.",gillespie field iata see icao ksee faa lid see countyowned public towered airport miles nmi km northeast downtown san diego el cajon san diego county california united states,"airport in California, United States of America",airport california united states america
Airports,"**Stallings Air Base** was a United States Air Force base operational from
1944 to 1957. It later reopened as Kinston Airport and is now known as Kinston
Regional Jetport.",stallings air base united states air force base operational later reopened kinston airport known kinston regional jetport,"airport in California, United States of America",airport california united states america
Airports,"**Marine Corps Auxiliary Landing Field Bogue** (ICAO: **KNJM** , FAA LID:
**NJM** ), also known as **Bogue Field** , is an 875-acre (3.54 km2) landing
field located on Bogue Sound (North Carolina) that serves as a Marine Corps’
East Coast site for Field Carrier Landing Practice (FCLP). It is a sub
facility of MCAS Cherry Point in Havelock in Craven County and one of three
USMC facilities in Carteret County. The others include Atlantic Airfield, a
Cherry Point sub installation which is sparsely manned and Radio Island
shipping terminal, between Morehead City and Beaufort, which falls under
control of Camp Lejeune, though it is only manned during active military
operations.",marine corps auxiliary landing field bogue icao knjm faa lid njm also known bogue field acre km landing field located bogue sound north carolina serves marine corps ’ east coast site field carrier landing practice fclp sub facility mcas cherry point havelock craven county one three usmc facilities carteret county others include atlantic airfield cherry point sub installation sparsely manned radio island shipping terminal morehead city beaufort falls control camp lejeune though manned active military operations,"US Marine Corps installation near Emerald Isle, North Carolina, United States",us marine corps installation near emerald isle north carolina united states
Airports,"**Oostmalle Airfield** (IATA: **OBL** , ICAO: **EBZR** ) is an airport in the
Antwerp province of the Flemish Region of Belgium. It is located east of the
town of Zoersel, south of the town of Oostmalle, and west of the town of
Wechelderzande, in the municipality of Malle.",oostmalle airfield iata obl icao ebzr airport antwerp province flemish region belgium located east town zoersel south town oostmalle west town wechelderzande municipality malle,"US Marine Corps installation near Emerald Isle, North Carolina, United States",us marine corps installation near emerald isle north carolina united states
Airports,"**Antwerp International Airport** (IATA: **ANR** , ICAO: **EBAW** ) is a small
international airport serving the City of Antwerp in the Province of Antwerp
in the Flemish Region of Belgium. Located 2.9 nautical miles (5.4 km; 3.3 mi)
south of the city, it is used for some scheduled and charter flights as well
as business and general aviation and served 273,130 passengers in 2017.",antwerp international airport iata anr icao ebaw small international airport serving city antwerp province antwerp flemish region belgium located nautical miles km mi south city used scheduled charter flights well business general aviation served passengers,"international airport serving Antwerp, Belgium",international airport serving antwerp belgium
Airports,"**Balen-Keiheuvel Aerodrome** (ICAO: **EBKH** ) is a private general aviation
airfield located in Keiheuvel-Balen, a municipality of Belgium. Aircraft on
the airport include both motorized aircraft and gliders.",balenkeiheuvel aerodrome icao ebkh private general aviation airfield located keiheuvelbalen municipality belgium aircraft airport include motorized aircraft gliders,"airport in Balen, Belgium",airport balen belgium
Airports,"**Weelde Air Base** (ICAO: **EBWE** ) is a NATO reserve airfield located in
Weelde, a village in the Ravels municipality in Belgium. It is operated by the
Belgian Air Component that has no military flight operations at that location,
besides aircraft arriving to be stored or leaving storage, for example retired
F-16 aircraft. The Belgian Air Component also uses the airfield for the
activities of the Belgian Air Cadets.",weelde air base icao ebwe nato reserve airfield located weelde village ravels municipality belgium operated belgian air component military flight operations location besides aircraft arriving stored leaving storage example retired f aircraft belgian air component also uses airfield activities belgian air cadets,"airport in Weelde, Belgium",airport weelde belgium
Airports,"**Brasschaat Airfield** (Dutch: _Vliegveld Brasschaat_ , (ICAO: **EBBT** )) is
an airfield located 4 kilometres (2 mi) north of Brasschaat, Antwerp, Belgium. Formerly the base of the Belgian Army Flying Service, it is today home to
recreational flying, including gliders and microlights.",brasschaat airfield dutch vliegveld brasschaat icao ebbt airfield located kilometres mi north brasschaat antwerp belgium formerly base belgian army flying service today home recreational flying including gliders microlights,"former military, currently civilian airfield in Belgium",former military currently civilian airfield belgium
Airports,"**Brač Airport** (Croatian: _Zračna luka Brač_ ; IATA: **BWK** , ICAO:
**LDSB** ) is an airport on the Croatian island of Brač, close to the town of
Bol, after which it is sometimes also named informally. It is one of three
island airports in the country (the other two being Krk – Rijeka Airport and
Lošinj – Lošinj Airport) used for commercial passenger flights, mainly charter
traffic from Europe during the summer season.",brač airport croatian zračna luka brač iata bwk icao ldsb airport croatian island brač close town bol sometimes also named informally one three island airports country two krk – rijeka airport lošinj – lošinj airport used commercial passenger flights mainly charter traffic europe summer season,"airport of Brač, Croatia",airport brač croatia
Airports,"**Dubrovnik Airport** (Croatian: _Zračna luka Dubrovnik_ ; IATA: **DBV** ,
ICAO: **LDDU** ), also referred to as **Čilipi Airport** (Croatian
pronunciation: [tʃǐlipi]), is the international airport of Dubrovnik, Croatia. The airport is located approximately 15.5 km (9.5 mi) from Dubrovnik city
centre, near Čilipi. It was the third-busiest airport in Croatia in 2019 after
Zagreb Airport and Split Airport in terms of passenger throughput.",dubrovnik airport croatian zračna luka dubrovnik iata dbv icao lddu also referred čilipi airport croatian pronunciation tʃǐlipi international airport dubrovnik croatia airport located approximately km mi dubrovnik city centre near čilipi thirdbusiest airport croatia zagreb airport split airport terms passenger throughput,airport,airport
Airports,"**Osijek Airport** (Croatian: _Zračna luka Osijek_ ; IATA: **OSI** , ICAO:
**LDOS** ) is the international airport of Osijek, Croatia. It is located 20
km east southeast of Osijek and is situated near the Osijek – Vukovar regional
road, southwest of the eponymous village of Klisa.",osijek airport croatian zračna luka osijek iata osi icao ldos international airport osijek croatia located km east southeast osijek situated near osijek – vukovar regional road southwest eponymous village klisa,airport,airport
Airports,"**Pula Airport** (Croatian: _Zračna luka Pula_ ; Italian: _Aeroporto di Pola_
; IATA: **PUY** , ICAO: **LDPL** ) is the international airport serving Pula,
Croatia, and is located 6 km from the city centre. It served 777,568
passengers in 2019. The airport is designated as the alternative airport for
parts of Slovenia and a multitude of cities in eastern Italy.",pula airport croatian zračna luka pula italian aeroporto di pola iata puy icao ldpl international airport serving pula croatia located km city centre served passengers airport designated alternative airport parts slovenia multitude cities eastern italy,airport,airport
Airports,"**Rijeka Airport** (Croatian: _Zračna luka Rijeka_ , Italian: _Aeroporto di
Fiume_ ; IATA: **RJK** , ICAO: **LDRI** ) is the international airport serving
Rijeka, Croatia. It is located near the town of Omišalj on the island of Krk,
17 km from the Rijeka railway station. Most of the traffic to and from the
airport occurs during the summer months, when it is used by several European
low-cost airlines flying tourists to the northern parts of the Croatian coast.",rijeka airport croatian zračna luka rijeka italian aeroporto di fiume iata rjk icao ldri international airport serving rijeka croatia located near town omišalj island krk km rijeka railway station traffic airport occurs summer months used several european lowcost airlines flying tourists northern parts croatian coast,airport,airport
Airports,"**Split Airport** (Croatian: _Zračna luka Split_ ; IATA: **SPU** , ICAO:
**LDSP** ), also known as **Resnik Airport** (Croatian: _Zračna luka Resnik_
), is the international airport serving the city of Split, Croatia. It is
located 19 km (12 mi) from Split, on the west side of Kaštela Bay, in the town
of Kaštela, and extending into the adjacent town of Trogir. In 2019, the airport was the second busiest in Croatia after Zagreb Airport
handling 3.3 million passengers.",split airport croatian zračna luka split iata spu icao ldsp also known resnik airport croatian zračna luka resnik international airport serving city split croatia located km mi split west side kaštela bay town kaštela extending adjacent town trogir airport second busiest croatia zagreb airport handling million passengers,airport in Croatia,airport croatia
Airports,"**Zadar Airport** (Croatian: _Zračna luka Zadar_ ; IATA: **ZAD** , ICAO:
**LDZD** ) is an international airport serving Zadar, Croatia. It is located
in Zemunik Donji, 8 km (5 mi) from the centre of Zadar.",zadar airport croatian zračna luka zadar iata zad icao ldzd international airport serving zadar croatia located zemunik donji km mi centre zadar,airport,airport
Airports,"**Zagreb Franjo Tuđman Airport** (Croatian: _Zračna luka Franjo Tuđman Zagreb_
) or **Zagreb Airport** (Croatian: _Zračna luka Zagreb_ ) (IATA: **ZAG** ,
ICAO: **LDZA** ) is an international airport serving Zagreb, Croatia. It was
the largest and busiest airport in Croatia until 2021, when it handled 1.4
million passengers and was surpassed for the first time by Split Airport,
which handled 1.57 million passengers. In 2019, however, Zagreb handled 3.45
million passengers and some 13,000 tons of cargo while Split handled 3.1
million.",zagreb franjo tuđman airport croatian zračna luka franjo tuđman zagreb zagreb airport croatian zračna luka zagreb iata zag icao ldza international airport serving zagreb croatia largest busiest airport croatia handled million passengers surpassed first time split airport handled million passengers however zagreb handled million passengers tons cargo split handled million,main international airport of Croatia; base of the Croatian Air Force and Air Defence,main international airport croatia base croatian air force air defence
Airports,"**Grobničko Polje Airport** (Croatian: _Zračna luka Grobničko Polje_ ) (ICAO:
**LDRG** ) is an airport serving Grobnik, a small locality near Rijeka,
Croatia.",grobničko polje airport croatian zračna luka grobničko polje icao ldrg airport serving grobnik small locality near rijeka croatia,airport,airport
